"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"146","Normal/Others","WS/MP490/2025-2026/241162-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Mithilesh house to Durga Mata Mandir in Sirsa Block Kashi Vidyapeeth village Length 53 m","Shri Narendra Modi","VARANASI","Images","05-May-2026","260308"
"147","Normal/Others","WS/MP490/2025-2026/241159-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Gram Sabha Sirsa Block Kashi Vidyapeeth Ayodhyapur link road to ancient temple Length 170 m","Shri Narendra Modi","VARANASI","Images","05-May-2026","922406"
"148","Normal/Others","WS/MP490/2025-2026/241160-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Rakesh Tripathi to Maya Gond house in Lohrapur Block Kashi Vidyapeeth village Length 190 m","Shri Narendra Modi","VARANASI","Images","07-May-2026","610532"
"149","Normal/Others","WS/MP490/2025-2026/240970-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Harendra Rai house to Ashok Yadav house in old Ramnagar ward no 65 Kodopur Length 93 m","Shri Narendra Modi","VARANASI","Images","07-May-2026","598968"
"150","Normal/Others","WS/MP490/2025-2026/241248-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Construction work of CC road from Thakur Prasad house to Minnu Rajbhar house in village Khulaspur Block Kashi Vidyapeeth Length 70 m","Shri Narendra Modi","VARANASI","Images","14-May-2026","594838"
"151","Normal/Others","WS/MP490/2025-2026/241163-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Rajendra Mishra house to Kallu ji house in Village Sabha Sihorwa Block Kashi Vidyapeeth Length 150 m","Shri Narendra Modi","VARANASI","Images","14-May-2026","938100"
"152","Normal/Others","WS/MP490/2025-2026/241221-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Village Sabha Samaipur Link Road to Piyajus house in Village Sabha Madav Block Kashi Vidyapeeth Length 69 m","Shri Narendra Modi","VARANASI","Images","06-Aug-2026","489818"
"153","Normal/Others","WS/MP490/2025-2026/241161-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Chaura Mata Mandir link road to Mangala Vishwakarma house in Sarhari Block Kashi Vidyapeeth village Length 170 m","Shri Narendra Modi","VARANASI","Images","21-Jul-2026",""
"154","Normal/Others","WS/MP490/2025-2026/241247-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Ramesh Sharma house to Atul Rais house in Ward No 4 Gram Sabha Shivdaspur Length 68 m","Shri Narendra Modi","VARANASI","Images","18-Jul-2026","313526"
"155","Normal/Others","WS/MP490/2025-2026/241164-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Chaura Mata Temple to Pradhan Gopal jis house in Village Lakhmipur Block Kashi Vidyapeeth Length 100 m","Shri Narendra Modi","VARANASI","Images","06-Aug-2026","566872"
"156","Normal/Others","WS/MP490/2025-2026/241133-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Shobhnath Vishwakarma house to Chandan Kumar house in Suswahi Ward No 39 Length 42 m","Shri Narendra Modi","VARANASI","Images","19-Jul-2026","176528"
"157","Normal/Others","WS/MP490/2025-2026/241130-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Ganesh Bhartiya house to Angad Patels land in Sujabad Ward No 48 Domri Length 70 m","Shri Narendra Modi","VARANASI","Images","25-Jul-2026","374296"
"158","Normal/Others","WS/MP490/2025-2026/241129-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Santosh Kannaujiya house to Rohit Kumar house in Sujabad Ward No 48 Domri Length 28 m","Shri Narendra Modi","VARANASI","Images","25-Jul-2026","162486"
"159","Normal/Others","WS/MP490/2025-2026/241010-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shivpur Ward No 9 Bhairav Nagar Colony Interlocking work from Jai Narayan Singh house to Sundar Villa S412933 Length 55m","Shri Narendra Modi","VARANASI","Images","09-Aug-2026","443326"
"160","Normal/Others","WS/MP490/2025-2026/241037-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Sikraul Chowka resetting work from Umanath MNo SH 192 Bhim Nagar to Manoj Kumar MNo SH 1910 Length 45 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","103604"
"161","Normal/Others","WS/MP490/2025-2026/240966-Providing drains and gutters for public drainage","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Sewer and interlocking work from Ramashankar Srivastava house to Vikram Chauhan house Length 117 m","Shri Narendra Modi","VARANASI","Images","26-Jul-2026","383500"
"162","Normal/Others","WS/MP490/2025-2026/241235-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Chunar Road to Amitesh Tiwari house in Gram Sabha Akhri Block Kashi Vidyapeeth Length 96 m","Shri Narendra Modi","VARANASI","Images","24-Jul-2026","978928"
"163","Normal/Others","WS/MP490/2025-2026/241158-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Babu Vanvasi house to Devvani Mahila Vidyalaya in Gram Sabha Lakhmipur Block Kashi Vidyapeeth Length 115 m","Shri Narendra Modi","VARANASI","Images","06-Aug-2026","620444"
"164","Normal/Others","WS/MP490/2025-2026/241239-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from interlocking road to Jatashankar Singh house in village Jagardeopur Block Arazilines Length 48 m","Shri Narendra Modi","VARANASI","Images","07-Aug-2026","230926"
"165","Normal/Others","WS/MP490/2025-2026/241241-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Rakesh Keshari house to America Singhs house in Gram Sabha Lathia Block Kashi Vidyapeeth Length 200 m","Shri Narendra Modi","VARANASI","Images","25-Jul-2026","857034"
"166","Normal/Others","WS/MP490/2025-2026/241131-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Manoj Paswan house to Bhusi house in Sujabad Ward No 48 Domri Length 62 m","Shri Narendra Modi","VARANASI","Images","25-Jul-2026","181130"
"167","Normal/Others","WS/MP490/2025-2026/240972-Providing drains and gutters for public drainage","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Sewer work from Vijay Kumar Yadav house in New Colony to Shri Ramdhani Bharti house in Bhiti Block Kashi Vidyapeeth Length 157 m","Shri Narendra Modi","VARANASI","Images","26-Jul-2026","510350"
"168","Normal/Others","WS/MP490/2025-2026/241036-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Drainage and connecting road work from before RBS Academy to Vikas Pratap Singh house in Ramrepur Ward No 59 Bhakti Nagar Colony Length 76 m","Shri Narendra Modi","VARANASI","Images","11-Aug-2026","640858"
"169","Normal/Others","WS/MP490/2025-2026/241157-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Rakesh Seth house to Dhruv Dada house in Kandwa Ward No 19 Shivaji Nagar Colony Length 81 m","Shri Narendra Modi","VARANASI","Images","05-Aug-2026","697616"
"170","Normal/Others","WS/MP490/2025-2026/241246-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Rajesh Mistry house to Anil Patels house in Gram Sabha Bairwan Block Kashi Vidyapeeth Length 48 m","Shri Narendra Modi","VARANASI","Images","17-Aug-2026","129800"
"171","Normal/Others","WS/MP490/2025-2026/241032-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Akatha Ward No 41 Srinagar Colony Akatha Pahadia HNo 622 SRD up to Vashisht ji Maharaj house and HNo 62S11S1 interlocking work up to Smriti Shilpa Chatterjee wife Gautam Diwakar Shyam Kartik Choubey house L 100 m","Shri Narendra Modi","VARANASI","Images","12-Aug-2026","831192"
"172","Normal/Others","WS/MP490/2025-2026/240967-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking Work from Gulab Singh Yadav house to Kailash Prasad Saroj Length 170 m","Shri Narendra Modi","VARANASI","Images","07-Aug-2026","898570"
"173","Normal/Others","WS/MP490/2025-2026/241236-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Rajendra Prasad Harijan house to Nandlal Upadhyay garden in Gram Sabha Milkichak Block Arazilines Length 95 m","Shri Narendra Modi","VARANASI","Images","10-Aug-2026","551178"
"174","Normal/Others","WS/MP490/2025-2026/241136-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Anil house to Shailendra Soni house near Satti Mata Mundir in Kandwa Ward No 19 Awaleshpur Length 32 m","Shri Narendra Modi","VARANASI","Images","11-Aug-2026","327450"
"175","Normal/Others","WS/MP490/2025-2026/241135-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Bandhu Upadhyay house to Nagendra Singh house in Kadwa Ward No 19 Surabhi Nagar Awaleshpur Length 34 m","Shri Narendra Modi","VARANASI","Images","11-Aug-2026","300428"
"176","Normal/Others","WS/MP490/2025-2026/240971-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road construction work from near Swami Vivekanand School to Ram Janaki Temple in Golaghat Ward No12 Ramnagar Length 125 m","Shri Narendra Modi","VARANASI","Images","12-Aug-2026","512474"
"177","Normal/Others","WS/MP490/2025-2026/241251-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Chekhuri Patels house to Inspector Rajbhars house in Village Daudpur Block Kashi Vidyapeeth Length 105 m","Shri Narendra Modi","VARANASI","Images","17-Aug-2026","480142"
"178","Normal/Others","WS/MP490/2025-2026/241035-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Pahadiya Ward No 46 Sarnath Interlocking work from Dilip Prajapati HNo 17264 to Virendra Yadav HNo 17265 Length 154m","Shri Narendra Modi","VARANASI","Images","13-Aug-2026","410876"
"179","Normal/Others","WS/MP490/2025-2026/241015-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Ward No 60 Alipura sewer and interlocking work from Rajendra Sonkar house 33581 to Bablu Sonkar house Length 53 m","Shri Narendra Modi","VARANASI","Images","17-Aug-2026","196942"
"180","Normal/Others","WS/MP490/2025-2026/241155-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Harihar Gaud house to Shyam Sundar house in Sujabad ward no 48 Domri Length 32 m","Shri Narendra Modi","VARANASI","Images","14-Aug-2026","287212"
"181","Normal/Others","WS/MP490/2025-2026/241242-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from government pavement to Dr Rajmohan Patel house in village Maniyaripur Block Kashi Vidyapeeth Length 40 m","Shri Narendra Modi","VARANASI","Images","17-Aug-2026","205674"
"182","Normal/Others","WS/MP490/2025-2026/241132-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Akhilesh Upadhyay house to Ranjan Singh house in Sirgovardhanpur Ward No 23 Bajrangnagar Colony Length 71 m","Shri Narendra Modi","VARANASI","Images","14-Aug-2026","797444"
"183","Normal/Others","WS/MP490/2025-2026/241224-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Gas Godown to Shivprakash Choubeys house in Chittauni Block Kashi Vidyapeeth village Length 205 m","Shri Narendra Modi","VARANASI","Images","12-Aug-2026","880398"
"184","Normal/Others","WS/MP490/2025-2026/241223-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from village Madav block Kashi Vidyapeeth Kaparforvan road to Ram Manohar Masters house Length 115 m","Shri Narendra Modi","VARANASI","Images","12-Aug-2026","738562"
"185","Normal/Others","WS/MP490/2025-2026/241137-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Devvrat house to Mala Maurya house in Kandwa Ward No19 Surabhi Nagar on main road Length 34 m","Shri Narendra Modi","VARANASI","Images","13-Aug-2026","167914"
"186","Normal/Others","WS/MP490/2025-2026/241134-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Aliyar Prasad house to Ramdular house in Karaudi Ward No 33 Nasirpur Length 75 m","Shri Narendra Modi","VARANASI","Images","18-Aug-2026","194110"
"187","Normal/Others","WS/MP490/2025-2026/241011-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shivpur Ward No 9 Kundan Nagar Colony Interlocking work from Pankaj Upadhyay house S1657 to Gaurishankar Gupta house Length 63 m","Shri Narendra Modi","VARANASI","Images","18-Aug-2026","798152"
"188","Normal/Others","WS/MP490/2025-2026/241240-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from block Kashi Vidyapeeth village Tikri main road to Swami Vitarganand Bharti Shishu Mandir Length 163 m","Shri Narendra Modi","VARANASI","Images","14-Aug-2026","950372"
"189","Normal/Others","WS/MP490/2025-2026/241233-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Pintu Pradhan house to La Singh house in Gram Sabha Jagardeopur Block Arazilines Length 90 m","Shri Narendra Modi","VARANASI","Images","17-Aug-2026","448400"
"190","Normal/Others","WS/MP490/2025-2026/241245-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Chak Road near Lalji to Madan house in Gram Sabha Dhanpalpur Block Kashi Vidyapeeth Length 83 m","Shri Narendra Modi","VARANASI","Images","17-Aug-2026","293820"
"191","Normal/Others","WS/MP490/2025-2026/241244-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Mahatma Gandhi School to Ranjit Kharwars house in ward no 4 village Shivdaspur Length 93 m","Shri Narendra Modi","VARANASI","Images","17-Aug-2026","246030"
"192","Normal/Others","WS/MP490/2025-2026/240968-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Sigara Ward No 53 from HNo D59103D5KH Shri Naveen Khanna ji to HNo D59103N Shri Rajiv Mishra ji house in Sigara Length 77 m","Shri Narendra Modi","VARANASI","Images","14-Aug-2026","704106"
"193","Normal/Others","WS/MP490/2025-2026/241237-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Pandit ji gate to Devan house in Gram Milkichak Block Arazilines Length 45 m","Shri Narendra Modi","VARANASI","Images","22-Aug-2026","231634"
"194","Normal/Others","WS/MP490/2025-2026/241234-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Gram Sabha Tarapur main road to Ramsajivan house in Gram Sabha Akhri Block Kashi Vidyapeeth Length 72 m","Shri Narendra Modi","VARANASI","Images","26-Aug-2026","299838"
"Grand Total"," "," "," "," "," "," "," "," "," ","8,91,19,541"
