"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"130","Normal/Others","WS/MP490/2024-2025/187456-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Renew stone in Katuapura ward no. 81 in the lane from K 46-51 to K 46-38, Length 235.10 m","29-Mar-2025","31-Mar-2025","575486","Physical Inspection"
"131","Normal/Others","WS/MP490/2024-2025/187460-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Pitch Road work in Koniya ward no. 68 From GT Road Balu Mandi Bhadau to Palang Shahid Road. Length 118 m","29-Mar-2025","31-Mar-2025","648292","Physical Inspection"
"132","Normal/Others","WS/MP490/2024-2025/187462-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Lane work in Koniya ward no. 68 from Shri Aalu Pal Jis residence to Shri Kallu Vishwakarma Jis residence. Length 28 m","29-Mar-2025","31-Mar-2025","81302","Physical Inspection"
"133","Normal/Others","WS/MP490/2024-2025/187464-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Lane work in Koniya ward no. 68 from Golu Kanaujias residence to Smt. Jyoti Chandravanshis residence. Length 54 m","29-Mar-2025","31-Mar-2025","173578","Physical Inspection"
"134","Normal/Others","WS/MP490/2024-2025/187479-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking from Ring Road Anantpur Marg to Lord Parshurams temple.Length 80 m.","29-Mar-2025","31-Mar-2025","438016","Physical Inspection"
"135","Normal/Others","WS/MP490/2024-2025/187481-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking from Sarhari Village via Sachins house to Amits house. Length 110 m.","29-Mar-2025","31-Mar-2025","561916","Physical Inspection"
"136","Normal/Others","WS/MP490/2024-2025/187482-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Gram  Ayodhyapur from Sirsa Link Road to Prem Masters house. Length 125 m.","29-Mar-2025","31-Mar-2025","783992","Physical Inspection"
"137","Normal/Others","WS/MP490/2024-2025/187512-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Anantpur Gram from Sabhai Lalman Baba school to Sanjay Pandeys house. Length 100 m.","29-Mar-2025","31-Mar-2025","598142","Physical Inspection"
"138","Normal/Others","WS/MP490/2024-2025/187515-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Bankat Gram from Bachcha Lal Pyare Lal Patel to Ajay Mishras house. Length 370 m.","29-Mar-2025","31-Mar-2025","1722918","Physical Inspection"
"139","Normal/Others","WS/MP490/2024-2025/187527-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gamhapur from Gangapur Butted Canal to Sanjay Pandeys house. Length 53 m.","29-Mar-2025","31-Mar-2025","339368","Physical Inspection"
"140","Normal/Others","WS/MP490/2024-2025/187535-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Bhadav village from Prakash Malis house to Ram Chandra mali. Length 135 m.","29-Mar-2025","31-Mar-2025","807710","Physical Inspection"
"141","Normal/Others","WS/MP490/2024-2025/187538-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Gram Sabha Misirpur main road to Laxmi Singhs farm.Length 45 m.","29-Mar-2025","31-Mar-2025","329102","Physical Inspection"
"142","Normal/Others","WS/MP490/2024-2025/187540-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road work in Tarapur Gram Sabha from Bablu Yadavs house to Shankar jis temple (CC road work). Length 125 m.","29-Mar-2025","31-Mar-2025","758622","Physical Inspection"
"143","Normal/Others","WS/MP490/2024-2025/187542-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Dafalpur from Ronald Rajiv Novuls house to Shivbalak Mishras house,Dafalpur. Length 80 m.","29-Mar-2025","31-Mar-2025","456424","Physical Inspection"
"144","Normal/Others","WS/MP490/2024-2025/187544-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","CC Road work in Gram Sabha Faridpur from Jafrabad main road and Dilip Guptas house to Harsh Singhs house. Length 70 m.","29-Mar-2025","31-Mar-2025","507754","Physical Inspection"
"145","Normal/Others","WS/MP490/2024-2025/187545-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road work in Gram Sbha Mishirpur from Spirajs house to Malayam Patels house. Length 70 m.","29-Mar-2025","31-Mar-2025","304912","Physical Inspection"
"146","Normal/Others","WS/MP490/2024-2025/187546-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sbha Maniyaripur from Munnalals house to behind Horilal Rajbhars house. Length 40 m.","29-Mar-2025","31-Mar-2025","83072","Physical Inspection"
"147","Normal/Others","WS/MP490/2024-2025/187547-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","CC road construction work in Gram Sabha Parmanandpur from Gulab Patels house to Jawahar Lals house in Parmanandpur. Length 150 m.","29-Mar-2025","31-Mar-2025","918040","Physical Inspection"
"148","Normal/Others","WS/MP490/2024-2025/187548-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking from the Pahi of Harilal God of Village Sabha Chhateri Manapur to the house of Kapil Dev Tiwari (link road). Length 65 m","29-Mar-2025","31-Mar-2025","234372","Physical Inspection"
"149","Normal/Others","WS/MP490/2024-2025/187549-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking from the house of Brahmaprasad of Brahmin Basti of Village Sabha Jogapur to the house of Pankaj Mishra  Kotedar. Length 30 m.","29-Mar-2025","31-Mar-2025","105146","Physical Inspection"
"150","Normal/Others","WS/MP490/2024-2025/187550-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Nibhani from Kapsethi-Kachhwa road to Nevada sampark road to Srivastava Basti. Length 80 m.","29-Mar-2025","31-Mar-2025","362968","Physical Inspection"
"151","Normal/Others","WS/MP490/2024-2025/187551-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Gram Sabha Ramdih from Arjunpur pitch road to the house of Darbari Patel. Length 93 m.","29-Mar-2025","31-Mar-2025","459006","Physical Inspection"
"152","Normal/Others","WS/MP490/2024-2025/187552-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Village Sabha Leduai from Lalpur Chatti Bhishmapur link road to Durga Mata temple. Length 62.50 m.","29-Mar-2025","31-Mar-2025","323426","Physical Inspection"
"153","Normal/Others","WS/MP490/2024-2025/187553-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Village Sabha Belwa from the government tube well to the house of Tega Chauhan (Chauhan Basti link road). Length 155 m.","29-Mar-2025","31-Mar-2025","611175","Physical Inspection"
"154","Normal/Others","WS/MP490/2024-2025/187554-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Gram Sabha Bhishmapur by connecting road from Ilaka Singhs garden to Santosh Singhs door. Length 62 m.","29-Mar-2025","31-Mar-2025","302099","Physical Inspection"
"155","Normal/Others","WS/MP490/2024-2025/187555-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Arjunpur from Amresh Patels door to Hanuman jis temple. Length 100 m.","29-Mar-2025","31-Mar-2025","390647","Physical Inspection"
"156","Normal/Others","WS/MP490/2024-2025/187556-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Jansa from RCC road near Kamleshwar Mauryas house to near Surya Mauryas house. Length 46 m.","29-Mar-2025","31-Mar-2025","195178","Physical Inspection"
"157","Normal/Others","WS/MP490/2024-2025/187557-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Jansa from Jingle Bhagats house to near Shyam Sundar Patels house.Length 135 m.","29-Mar-2025","31-Mar-2025","504189","Physical Inspection"
"158","Normal/Others","WS/MP490/2024-2025/187559-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Harsos from Vikram Patels old house to Ram Snehis house. Length 93 m.","29-Mar-2025","31-Mar-2025","307868","Physical Inspection"
"159","Normal/Others","WS/MP490/2024-2025/187560-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Parmanandpur from Anokha Lals house to the pitch road near Chaurasi Ravidas Park near Khandja. Length 195 m.","29-Mar-2025","31-Mar-2025","824406","Physical Inspection"
"160","Normal/Others","WS/MP490/2024-2025/187562-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Ganeshpur from canal pitch road to Moni Rajs house. Length 105 m.","29-Mar-2025","31-Mar-2025","421159","Physical Inspection"
"161","Normal/Others","WS/MP490/2024-2025/187564-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking from Rasipur Gond Basti to Ramesh Singhs Sandeep Kannaujiyas house. Length 152 m.","29-Mar-2025","31-Mar-2025","609442","Physical Inspection"
"162","Normal/Others","WS/MP490/2024-2025/187568-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Bara Dih from Babus house to Avadhesh Rajbhars house in Baradih. Length 150 m.","29-Mar-2025","31-Mar-2025","599930","Physical Inspection"
"163","Normal/Others","WS/MP490/2024-2025/187570-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking Village Hathi Dih from Pappu Singhs house to Fajihat Singhs house in. Length 60 m.","29-Mar-2025","31-Mar-2025","219584","Physical Inspection"
"164","Normal/Others","WS/MP490/2024-2025/187571-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road work in Gram Sabha Akedaga (Khargupur) from Vijay Shankar Mishras house to Shiv Mandir. Length 160 m.","29-Mar-2025","31-Mar-2025","575041","Physical Inspection"
"165","Normal/Others","WS/MP490/2024-2025/187573-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Sattanpur Khamouna from Chhotelal Rajbhars farmland house to Shri Nehru UMV. Length 210 m.","29-Mar-2025","31-Mar-2025","741307","Physical Inspection"
"166","Normal/Others","WS/MP490/2024-2025/187574-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Village Sabha Khemai Pur from near Nathu Pals house to near Nahra. Length 70 m.","29-Mar-2025","31-Mar-2025","442867","Physical Inspection"
"167","Normal/Others","WS/MP490/2024-2025/187582-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Gram sabha Jogapur from Kallu Netas house to Bachchas garden. Length 140 m.","29-Mar-2025","31-Mar-2025","710184","Physical Inspection"
"168","Normal/Others","WS/MP490/2024-2025/187609-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Jayapur from Babu Lal Guptas house to Prabhu Vishwakarmas house. Length 50 m.","29-Mar-2025","31-Mar-2025","241921","Physical Inspection"
"169","Normal/Others","WS/MP490/2024-2025/187610-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Sihorawa from Musahar Basti to Dineshs house in Village. Length 100 m.","29-Mar-2025","31-Mar-2025","434482","Physical Inspection"
"170","Normal/Others","WS/MP490/2024-2025/187611-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gram Sabha Veersinghpur from Shyam Sundar Pathaks house to Ranju Upadhyays house. Length 55 m.","29-Mar-2025","31-Mar-2025","255871","Physical Inspection"
"171","Normal/Others","WS/MP490/2024-2025/187612-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Gramsabha Panditpur from pitch road to Shobha Rajbhars house.Length 80 m.","29-Mar-2025","31-Mar-2025","352112","Physical Inspection"
"172","Normal/Others","WS/MP490/2024-2025/187151-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Mrs. Manisha Upadhyaya House No. N 12-366, IIPC Bharat Puram Colony From the house of Bajardiha to the house of Shri Prabhu Patel to the house of Shri Arvind Srivastava - Inter Locking drain,lane,pit and chamber construction length 42.70 m","29-Mar-2025","31-Mar-2025","337580","Physical Inspection"
"173","Normal/Others","WS/MP490/2024-2025/187173-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","From Yadav ji house No. N 2-150 to Basant Lal house No. N 2-150, C-1 Sundarpur (Vivek Nagar) Chowka reset lane feet length 77 m","29-Mar-2025","31-Mar-2025","341611","Physical Inspection"
"174","Normal/Others","WS/MP490/2024-2025/187178-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking from Durga Prasad house No. B-33-43-A to Sunil house to Jwala Prasad house no. B-33-43 to Subhash Singh house, length 135.20 m","29-Mar-2025","31-Mar-2025","761309","Physical Inspection"
"175","Normal/Others","WS/MP490/2024-2025/187179-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road construction work from Chhedi Sonkars house to Lalu house and from Vechan Sonkars house to Ramu house. Interlocking length 50 m","29-Mar-2025","31-Mar-2025","146824","Physical Inspection"
"176","Normal/Others","WS/MP490/2024-2025/187180-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road construction work from Daitraveer temple to Sharma ji house. Interlocking length 78 m","29-Mar-2025","31-Mar-2025","252168","Physical Inspection"
"177","Normal/Others","WS/MP490/2024-2025/187183-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from B 1-148-7, Vimla Devis house to B 1-148 D-1, Purnchandra Upadhyays house. Length 68.50 m","29-Mar-2025","31-Mar-2025","236658","Physical Inspection"
"178","Normal/Others","WS/MP490/2024-2025/187184-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work on kutcha road from the street next to Navodaya School Badi Gaibi VDA Colony to the empty plot of Ganga Sagar Sonkar Chand  (Sand filling) Length 97 m","29-Mar-2025","31-Mar-2025","439209","Physical Inspection"
"179","Normal/Others","WS/MP490/2024-2025/187186-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work, from Kailash Guptas house no. D 59-314 B to Bharat Lal Binds house no. D 59-314 G, length 47.50 m","29-Mar-2025","31-Mar-2025","351982","Physical Inspection"
"180","Normal/Others","WS/MP490/2024-2025/187187-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work, from Ramesh Binds house no. 59-278 to Shankarjis temple, to Sunil Mauryas house no. 59-293, length 200 m","29-Mar-2025","31-Mar-2025","704920","Physical Inspection"
"181","Normal/Others","WS/MP490/2024-2025/187189-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work, from house C 15-304 Mangal Yadav to house C 15-306 Nandlal Maurya, length 26.70 m","29-Mar-2025","31-Mar-2025","111052","Physical Inspection"
"182","Normal/Others","WS/MP490/2024-2025/187192-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Kazipurakhurd ward no. 77, from C 14-149-17-20 late Vindhyavasini Lal Srivastavas house to C 14-159-17-7 Satish Chaurasias house, length 61.50 m","29-Mar-2025","31-Mar-2025","305724","Physical Inspection"
"183","Normal/Others","WS/MP490/2024-2025/187197-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Chowka resetting and Gali Peet  work in Sarai Nandan Ward 28 from Vijay Patel house no. 3-154 to Rama Patel house no. 4-154 , length 45.20 m","29-Mar-2025","31-Mar-2025","124247","Physical Inspection"
"184","Normal/Others","WS/MP490/2024-2025/187203-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Old Ramnagar Kodopur Ward no. 65 from Shri Neelu Sonkars house to Shri Manoj Sonkars house, Kodopur, length 105 m","29-Mar-2025","31-Mar-2025","236071","Physical Inspection"
"185","Normal/Others","WS/MP490/2024-2025/187217-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Lahartara ward no. 1, from Rajendra Sabji Walas house to late Gurucharans house, 3.00 m width 100 m length behind Naya Basti Telephone Colony and from Brijesh Pandeys house to Deenanaths house. Length 90.80 m.","29-Mar-2025","31-Mar-2025","246598","Physical Inspection"
"186","Normal/Others","WS/MP490/2024-2025/187218-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Kazipura Khurd ward no. 77, from Sonu Mauryas house KC 14-157 to Kailash Jaiswal length 39.40 m","29-Mar-2025","31-Mar-2025","167027","Physical Inspection"
"187","Normal/Others","WS/MP490/2024-2025/187222-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Shivpurwan Ward no. 10, from D 64-54 Bhaiyalal Bind to D 64-56 Suresh Bind Mini Tubewell, Madhavpur. Length 102 m.","29-Mar-2025","31-Mar-2025","266784","Physical Inspection"
"188","Normal/Others","WS/MP490/2024-2025/187225-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Loko Chittupur ward no. 07, from house no. C 33-283 Pramod Maurya to house no. C 32-31A work from the house of Raju Goswami ji till the house. Length 141 m","29-Mar-2025","31-Mar-2025","690282","Physical Inspection"
"189","Normal/Others","WS/MP490/2024-2025/187228-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work In Loco Chittupur ward no. 07, from house no. C 33-281 late Chhedi Maurya till house no. C 33-287 Nagendra Prasad Singh jis house, length 43.70 m","29-Mar-2025","31-Mar-2025","203037","Physical Inspection"
"190","Normal/Others","WS/MP490/2024-2025/187235-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Kakarmatta ward no. 38 from  Shivmurat Vermas house in Jalalipatti to Kripa Shankar Dixits house. Length 52 m.","29-Mar-2025","31-Mar-2025","170864","Physical Inspection"
"191","Normal/Others","WS/MP490/2024-2025/187238-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Kakarmatta ward no. 38  from Shyam Narayans house to Rajendra Prasads house in Nathupur, Length 22 m.","29-Mar-2025","31-Mar-2025","156704","Physical Inspection"
"192","Normal/Others","WS/MP490/2024-2025/187241-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Kakarmatta ward no. 38  from Vijay Patels house in Nathupur to Ishwar Lal Patels house. Length 26 m.","29-Mar-2025","31-Mar-2025","97232","Physical Inspection"
"193","Normal/Others","WS/MP490/2024-2025/187246-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in kandwa ward no. 19 from Shyam Pandeys house to Renu Singhs house in Awaleshpur. Length 79.50 m.","29-Mar-2025","31-Mar-2025","722750","Physical Inspection"
"194","Normal/Others","WS/MP490/2024-2025/187247-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in kandwa ward no. 19 from Raja Ram Prajapatis house in Awaleshpur to Manoj Chaurasias house. Length 29m.","29-Mar-2025","31-Mar-2025","236236","Physical Inspection"
"195","Normal/Others","WS/MP490/2024-2025/187248-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in kandwa ward no. 19 from RP Mishras house in Kanchanpur to Ansh Narayan Jhas house. Length 28 m.","29-Mar-2025","31-Mar-2025","213226","Physical Inspection"
"196","Normal/Others","WS/MP490/2024-2025/187252-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Karoundi ward no. 33 from Dinesh Patels house in Karaudi to Hiralals house. Length 26.50 m.","29-Mar-2025","31-Mar-2025","83426","Physical Inspection"
"197","Normal/Others","WS/MP490/2024-2025/187253-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Karoundi ward no. 33 from Sunil Patels house in Karaudi to Neeraj Mohan Walas house.Length 83 m.","29-Mar-2025","31-Mar-2025","231398","Physical Inspection"
"198","Normal/Others","WS/MP490/2024-2025/187254-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Kakarmatta ward no. 38 from Ramprasads house to Santan Sipahis house in Pahari Vaishnavi Vihar Colony. Length 76 m","29-Mar-2025","31-Mar-2025","231752","Physical Inspection"
"199","Normal/Others","WS/MP490/2024-2025/187257-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Suswahi ward no. 39 from Panna Lal Yadavs house to Lalit Pandeys gate.Length 40 m.","29-Mar-2025","31-Mar-2025","268568","Physical Inspection"
