"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"26","Normal/Others","WS/MP490/2025-2026/241129-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Santosh Kannaujiya house to Rohit Kumar house in Sujabad Ward No 48 Domri Length 28 m","10-Oct-2025","15-Oct-2025","162486","Physical Inspection"
"27","Normal/Others","WS/MP490/2025-2026/241130-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Ganesh Bhartiya house to Angad Patels land in Sujabad Ward No 48 Domri Length 70 m","10-Oct-2025","15-Oct-2025","374296","Physical Inspection"
"28","Normal/Others","WS/MP490/2025-2026/241131-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Manoj Paswan house to Bhusi house in Sujabad Ward No 48 Domri Length 62 m","10-Oct-2025","15-Oct-2025","202000","Physical Inspection"
"29","Normal/Others","WS/MP490/2025-2026/241132-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Akhilesh Upadhyay house to Ranjan Singh house in Sirgovardhanpur Ward No 23 Bajrangnagar Colony Length 71 m","10-Oct-2025","15-Oct-2025","945000","Physical Inspection"
"30","Normal/Others","WS/MP490/2025-2026/241133-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Shobhnath Vishwakarma house to Chandan Kumar house in Suswahi Ward No 39 Length 42 m","10-Oct-2025","15-Oct-2025","177000","Physical Inspection"
"31","Normal/Others","WS/MP490/2025-2026/241134-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Aliyar Prasad house to Ramdular house in Karaudi Ward No 33 Nasirpur Length 75 m","10-Oct-2025","15-Oct-2025","195000","Physical Inspection"
"32","Normal/Others","WS/MP490/2025-2026/241135-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Bandhu Upadhyay house to Nagendra Singh house in Kadwa Ward No 19 Surabhi Nagar Awaleshpur Length 34 m","10-Oct-2025","15-Oct-2025","303000","Physical Inspection"
"33","Normal/Others","WS/MP490/2025-2026/241136-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Anil house to Shailendra Soni house near Satti Mata Mundir in Kandwa Ward No 19 Awaleshpur Length 32 m","10-Oct-2025","15-Oct-2025","331000","Physical Inspection"
"34","Normal/Others","WS/MP490/2025-2026/241137-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Devvrat house to Mala Maurya house in Kandwa Ward No19 Surabhi Nagar on main road Length 34 m","10-Oct-2025","15-Oct-2025","172000","Physical Inspection"
"35","Normal/Others","WS/MP490/2025-2026/241155-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Harihar Gaud house to Shyam Sundar house in Sujabad ward no 48 Domri Length 32 m","10-Oct-2025","15-Oct-2025","299000","Physical Inspection"
